Metro,POP_1980,LPOP_1980,R90_10_1980,POP_2015,LPOP_2015,R90_10_2015,nyt_display,state_display,highlight
"lakeland-winter haven, fl",316100,5.5,4,650324,5.8,4.5,Lakeland-Winter Haven,Fla.,NaN
"toledo, oh",794900,5.9,3.9,647512,5.8,5,Toledo,Ohio,NaN
"jackson, ms",323300,5.5,4.5,625436,5.8,5.6,Jackson,Miss.,NaN
"deltona-daytona beach-ormond beach, fl",259500,5.4,4,623852,5.8,4.2,Deltona-Daytona Beach-Ormond Beach,Fla.,NaN
"wichita, ks",414600,5.6,3.7,612392,5.8,5,Wichita,Kan.,NaN
"spokane-spokane valley, wa",343300,5.5,3.9,593504,5.8,4.9,Spokane-Spokane Valley,Wash.,NaN
"springfield, ma",527900,5.7,3.4,578713,5.8,4.7,Springfield,Mass.,NaN
"provo-orem, ut",218200,5.3,4.4,575320,5.8,5.6,Provo-Orem,Utah,NaN
"palm bay-melbourne-titusville, fl",276800,5.4,4.8,568140,5.8,5,Palm Bay-Melbourne-Titusville,Fla.,NaN
"youngstown-warren-boardman, oh-pa",532300,5.7,4,549236,5.7,4.4,Youngstown-Warren-Boardman,oh-Pa.,NaN
"lafayette, la",157200,5.2,4.9,543340,5.7,6.2,Lafayette,La.,NaN
"modesto, ca",267400,5.4,4.3,538021,5.7,4.5,Modesto,Calif.,NaN
"augusta-richmond county, ga-sc",335300,5.5,3.9,537654,5.7,5.2,Augusta-Richmond County,Ga.-S.C.,NaN
"lancaster, pa",357500,5.6,3.6,537212,5.7,4.7,Lancaster,Pa.,NaN
"chattanooga, tn-ga",429400,5.6,3.9,530182,5.7,5.1,Chattanooga,Tenn.-Ga.,NaN
"portland-south portland, me",181700,5.3,3.3,526715,5.7,4.8,Portland-South Portland,Me.,NaN
"asheville, nc",178800,5.3,3.5,508393,5.7,4.8,Asheville,N.C.,NaN
"santa rosa, ca",303800,5.5,4,502191,5.7,5.9,Santa Rosa,Calif.,NaN
"scranton-wilkes-barre-hazleton, pa",644300,5.8,3.6,494197,5.7,4.6,Scranton-Wilkes-Barre-Hazleton,Pa.,NaN
"salinas, ca",288300,5.5,4.4,493133,5.7,5.6,Salinas,Calif.,NaN
"corpus christi, tx",315900,5.5,4.2,491078,5.7,5.9,Corpus Christi,Tex.,NaN
"pensacola-ferry pass-brent, fl",287300,5.5,4.3,477224,5.7,5.2,Pensacola-Ferry Pass-Brent,Fla.,NaN
"fayetteville-springdale-rogers, ar-mo",177900,5.3,4.1,474380,5.7,5.3,Fayetteville-Springdale-Rogers,Ark.-Mo.,NaN
"lansing-east lansing, mi",471100,5.7,4,472205,5.7,4.5,Lansing-East Lansing,Mich.,NaN
"visalia-porterville, ca",244400,5.4,3.8,459902,5.7,5.7,Visalia-Porterville,Calif.,NaN
"anchorage, ak",174200,5.2,5.4,458331,5.7,5.5,Anchorage,Alaska,NaN
"reno, nv",190400,5.3,3.9,446968,5.7,5.1,Reno,Nev.,NaN
"santa maria-santa barbara, ca",296800,5.5,4.8,444239,5.6,5.8,Santa Maria-Santa Barbara,Calif.,NaN
"york-hanover, pa",381200,5.6,3.8,443261,5.6,4.6,York-Hanover,Pa.,NaN
"brownsville-harlingen, tx",210300,5.3,4.2,422224,5.6,6,Brownsville-Harlingen,Tex.,NaN
"shreveport-bossier city, la",375000,5.6,4.2,417380,5.6,5.8,Shreveport-Bossier City,La.,NaN
"huntsville, al",311100,5.5,4.8,417338,5.6,6.2,Huntsville,Ala.,NaN
"reading, pa",312900,5.5,3.8,415334,5.6,4.7,Reading,Pa.,NaN
"mobile, al",445200,5.6,4.4,415090,5.6,5.3,Mobile,Ala.,NaN
"springfield, mo",205400,5.3,3.9,408644,5.6,4.7,Springfield,Mo.,NaN
"hickory-lenoir-morganton, nc",129000,5.1,3.7,408304,5.6,4.1,Hickory-Lenoir-Morganton,N.C.,NaN
"canton-massillon, oh",409800,5.6,3.7,402706,5.6,4.9,Canton-Massillon,Ohio,NaN
"beaumont-port arthur, tx",370900,5.6,4.4,395101,5.6,5.9,Beaumont-Port Arthur,Tex.,NaN
"kalamazoo-portage, mi",275300,5.4,3.4,386609,5.6,4.9,Kalamazoo-Portage,Mich.,NaN
"montgomery, al",276700,5.4,4,375054,5.6,6,Montgomery,Ala.,NaN
"trenton, nj",308000,5.5,3.9,370588,5.6,7.4,Trenton,N.J.,NaN
"fort wayne, in",382900,5.6,3.6,368939,5.6,4,Fort Wayne,Ind.,NaN
"eugene, or",276300,5.4,4,363328,5.6,5,Eugene,Ore.,NaN
"ann arbor, mi",270600,5.4,3.9,358039,5.6,6.6,Ann Arbor,Mich.,NaN
"manchester, oh",272200,5.4,3.7,351473,5.5,5.4,Manchester,Ohio,NaN
"ocala, fl",122500,5.1,3.9,343055,5.5,4.1,Ocala,Fla.,NaN
"biloxi, ms",304800,5.5,4,342922,5.5,5.1,Biloxi,Miss.,NaN
"rockford, il",277400,5.4,3.6,340529,5.5,4.7,Rockford,Ill.,NaN
"roanoke, va",226400,5.4,4.2,337154,5.5,4.2,Roanoke,Va.,NaN
"fort collins, co",152200,5.2,4.5,333813,5.5,5.3,Fort Collins,Colo.,NaN
"fayetteville, nc",249800,5.4,3.8,324801,5.5,5.3,Fayetteville,N.C.,NaN
"clarksville, tn-ky",149000,5.2,3.8,312448,5.5,4.2,Clarksville,Tenn.-Ky.,NaN
"lincoln, ne",194200,5.3,4,306502,5.5,5.7,Lincoln,Neb.,NaN
"lubbock, tx",212700,5.3,4,299853,5.5,5.9,Lubbock,Tex.,NaN
"erie, pa",276300,5.4,3.5,278144,5.4,4.2,Erie,Pa.,NaN
"wilmington, nc",137900,5.1,4.4,277869,5.4,5.2,Wilmington,N.C.,NaN
"santa cruz-watsonville, ca",187800,5.3,4.7,275158,5.4,7.1,Santa Cruz-Watsonville,Calif.,NaN
"utica-rome, ny",316000,5.5,3.4,274185,5.4,4.2,Utica-Rome,N.Y.,NaN
"norwich-new london, ct",251500,5.4,4,272385,5.4,5,Norwich-New London,Conn.,NaN
"olympia-tumwater, wa",125800,5.1,4,269711,5.4,4.8,Olympia-Tumwater,Wash.,NaN
"atlantic city-hammonton, nj",194700,5.3,4,263097,5.4,5.9,Atlantic City-Hammonton,N.J.,NaN
"lynchburg, va",151500,5.2,3.8,260850,5.4,4.6,Lynchburg,Va.,NaN
"gainesville, fl",153500,5.2,4.3,260383,5.4,6,Gainesville,Fla.,NaN
